acaryochloris_marina,prauserella_marina
acetoanaerobium_sticklandii,dethiosulfovibrio_peptidovorans
acetobacter_ghanensis,taylorella_asinigenitalis
acetobacterium_woodii,mediterranea_massiliensis
acetobacter_okinawensis,alkalispirochaeta_odontotermitis
acetobacter_papayae,lactobacillus_thailandensis
acetobacter_pasteurianus,methylomonas_denitrificans
acetobacter_persici,intrasporangium_chromatireducens
acetobacter_persici,paenibacillus_herberti
acetobacter_senegalensis,granulosicoccus_antarcticus
acetohalobium_arabaticum,paludibacter_propionicigenes
acetomicrobium_hydrogeniformans,rufibacter_ruber
acetomicrobium_mobile,granulicella_tundricola
acholeplasma_brassicae,sunxiuqinia_elliptica
acholeplasma_laidlawii,thiobacillus_denitrificans
acholeplasma_oculi,deefgea_rivuli
acholeplasma_oculi,thermodesulfobacterium_geofontis
acholeplasma_palmae,petrotoga_mobilis
acholeplasma_palmae,spirosoma_luteum
acidaminococcus_fermentans,christensenella_minuta
acidaminococcus_fermentans,faecalibaculum_rodentium
acidaminococcus_fermentans,kallipyga_massiliensis
acidaminococcus_fermentans,lachnospiraceae_bacterium
acidaminococcus_fermentans,lachnospiraceae_bacterium
acidaminococcus_fermentans,lachnospiraceae_bacterium
acidaminococcus_fermentans,lachnospiraceae_bacterium
acidaminococcus_fermentans,lachnospiraceae_bacterium
acidaminococcus_fermentans,lachnospiraceae_bacterium
acidaminococcus_fermentans,mobilibacterium_timonense
acidaminococcus_fermentans,ruminococcaceae_bacterium
acidaminococcus_timonensis,lachnospiraceae_bacterium
acidibacillus_ferrooxidans,fusobacterium_necrophorum
acidibacillus_ferrooxidans,spirochaeta_thermophila
acidihalobacter_prosperus,cryobacterium_arcticum
acidihalobacter_prosperus,geodermatophilus_africanus
acidimicrobium_ferrooxidans,cnuibacter_physcomitrellae
acidiphilium_multivorum,aurantimonas_manganoxydans
acidiphilium_multivorum,mycoplasma_canis
acidipropionibacterium_acidipropionici,aquincola_tertiaricarbonis
acidithiobacillus_caldus,cryobacterium_flavum
acidithrix_ferrooxidans,chitinimonas_koreensis
acidobacterium_ailaaui,sulfurihydrogenibium_azorense
acidobacterium_capsulatum,niabella_aurantiaca
acidothermus_cellulolyticus,agrococcus_jejuensis
acidovorax_avenae,haloglycomyces_albus
acidovorax_caeni,dethiosulfovibrio_peptidovorans
acidovorax_delafieldii,moraxella_boevrei
acidovorax_wautersii,chloroherpeton_thalassium
acidovorax_wautersii,photobacterium_leiognathi
acinetobacter_bohemicus,pontibacter_lucknowensis
acinetobacter_boissieri,microbacterium_testaceum
acinetobacter_kookii,candidatus_berkiella
