Species,A10,A11,A12,A5,A6,A7,A8,A9,B10,B11,B12,B1,B2,B3,B4,B5,B6,B7,B8,B9,C10,C11,C12,C1,C2,C3,C4,C5,C6,C7,C9,D10,D11,D12,D1
Abelson_murine_leukemia_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absidia_glauca,0,5,0,1,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,1,0,1,2,0,0,1,0,0,0,0,3,1,193,11,0
Absidia_repens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,1,0,0,0,1,3,0,0,2,1,0,2,0,0,0,0,0
Acanthamoeba_castellanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthamoeba_polyphaga_mimivirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaryochloris_marina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,5,0,0,0,1,0,0,0,39,4,1,0
Acetoanaerobium_noterae,4,3,6,16,0,0,2,0,2,2,1,0,2,21,11,0,5,16,1,2,3,0,0,2,15,0,11,8,6,2,0,14,4,10,6
Acetoanaerobium_sticklandii,2,6,3,5,2,6,4,0,0,2,0,1,0,36,1,0,0,65,12,2,3,0,0,6,1,7,4,3,1,3,0,7,0,6,4
Acetobacter_aceti,21,0,1,4,1,1,0,0,2,0,0,3,1,0,0,0,112,3,3,0,0,0,0,0,1,0,4,4,2,2,0,2,6,11,0
Acetobacter_fabarum,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacter_ghanensis,0,0,3,5,1,0,0,0,4,3,0,0,0,2,0,0,16,42,0,13,0,0,1,10,0,0,0,2,0,5,0,5,1,0,7
Acetobacterium_woodii,30,58,45,39,1,80,11,0,74,42,0,18,3,16,15,0,13,41,19,9,3,11,5,47,4,41,35,15,7,30,3,99,4,41,11
Acetobacter_okinawensis,4,11,10,1,0,3,1,0,69,0,0,2,0,1,8,0,108,2,0,0,0,0,0,2,0,3,3,2,0,0,0,74,0,0,2
Acetobacter_papayae,0,8,1,1,0,0,2,0,1,0,0,0,0,0,2,0,29,0,0,0,0,0,0,6,1,0,1,2,4,0,2,2,0,0,1
Acetobacter_pasteurianus,2,11,4,7,4,0,75,2,2,0,0,21,14,4,286,0,2,5,4,3,0,10,1,164,3,0,10,171,402,7,5,2,302,263,170
