species,a10,a11,a12,a5,a6,a7,a8,a9,b10,b11,b12,b1,b2,b3,b4,b5,b6,b7,b8,b9,c10,c11,c12,c1,c2,c3,c4,c5,c6,c7,c9,d10,d11,d12,d1
abalone_herpesvirus_victoria/aus/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelson_murine_leukemia_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abiotrophia_sp._hmsc24b09,17,34,10,76,872,15,9,780,3,12,212,41,60,141,14,415,38,551,22,15,1183,47,20,42,175,69,876,417,81,96,810,19,55,367,46
absidia_glauca,0,5,0,1,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,1,0,1,2,0,0,1,0,0,0,0,3,1,193,11,0
absidia_repens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,1,0,0,0,1,3,0,0,2,1,0,2,0,0,0,0,0
acanthamoeba_castellanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acanthamoeba_polyphaga_mimivirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acanthocystis_turfacea_chlorella_virus_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acaryochloris_marina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,5,0,0,0,1,0,0,0,39,4,1,0
acaryochloris_sp._ccmee_5410,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
acetoanaerobium_noterae,4,3,6,16,0,0,2,0,2,2,1,0,2,21,11,0,5,16,1,2,3,0,0,2,15,0,11,8,6,2,0,14,4,10,6
acetoanaerobium_sticklandii,2,6,3,5,2,6,4,0,0,2,0,1,0,36,1,0,0,65,12,2,3,0,0,6,1,7,4,3,1,3,0,7,0,6,4
acetobacteraceae_bacterium_at-5844,6,2,2,8,0,7,3,1,3,1,0,0,0,0,14,0,0,0,4,0,0,0,0,7,0,7,3,1,4,7,1,7,1,0,0
acetobacter_aceti,21,0,1,4,1,1,0,0,2,0,0,3,1,0,0,0,112,3,3,0,0,0,0,0,1,0,4,4,2,2,0,2,6,11,0
acetobacter_fabarum,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acetobacter_ghanensis,0,0,3,5,1,0,0,0,4,3,0,0,0,2,0,0,16,42,0,13,0,0,1,10,0,0,0,2,0,5,0,5,1,0,7
acetobacterium_woodii,30,58,45,39,1,80,11,0,74,42,0,18,3,16,15,0,13,41,19,9,3,11,5,47,4,41,35,15,7,30,3,99,4,41,11
acetobacter_okinawensis,4,11,10,1,0,3,1,0,69,0,0,2,0,1,8,0,108,2,0,0,0,0,0,2,0,3,3,2,0,0,0,74,0,0,2
acetobacter_papayae,0,8,1,1,0,0,2,0,1,0,0,0,0,0,2,0,29,0,0,0,0,0,0,6,1,0,1,2,4,0,2,2,0,0,1
acetobacter_pasteurianus,2,11,4,7,4,0,75,2,2,0,0,21,14,4,286,0,2,5,4,3,0,10,1,164,3,0,10,171,402,7,5,2,302,263,170
acetobacter_persici,6,3,4,0,0,1,4,0,3,1,1,1,3,1,0,0,1,8,4,1,2,0,0,17,0,1,4,5,4,3,5,8,1,3,0
acetobacter_pomorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
acetobacter_senegalensis,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,7,0,0,0,3,0,2,0,0,0,4,0,1,0,0,0
