species,a10,a11,a12,a5,a6,a7,a8,a9,b10,b11,b12,b1,b2,b3,b4,b5,b6,b7,b8,b9,c10,c11,c12,c1,c2,c3,c4,c5,c6,c7,c9,d10,d11,d12,d1
acaryochloris_marina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,5,0,0,0,1,0,0,0,39,4,1,0
acetoanaerobium_sticklandii,2,6,3,5,2,6,4,0,0,2,0,1,0,36,1,0,0,65,12,2,3,0,0,6,1,7,4,3,1,3,0,7,0,6,4
acetobacter_aceti,21,0,1,4,1,1,0,0,2,0,0,3,1,0,0,0,112,3,3,0,0,0,0,0,1,0,4,4,2,2,0,2,6,11,0
acetobacter_ghanensis,0,0,3,5,1,0,0,0,4,3,0,0,0,2,0,0,16,42,0,13,0,0,1,10,0,0,0,2,0,5,0,5,1,0,7
acetobacterium_woodii,30,58,45,39,1,80,11,0,74,42,0,18,3,16,15,0,13,41,19,9,3,11,5,47,4,41,35,15,7,30,3,99,4,41,11
acetobacter_okinawensis,4,11,10,1,0,3,1,0,69,0,0,2,0,1,8,0,108,2,0,0,0,0,0,2,0,3,3,2,0,0,0,74,0,0,2
acetobacter_papayae,0,8,1,1,0,0,2,0,1,0,0,0,0,0,2,0,29,0,0,0,0,0,0,6,1,0,1,2,4,0,2,2,0,0,1
acetobacter_pasteurianus,2,11,4,7,4,0,75,2,2,0,0,21,14,4,286,0,2,5,4,3,0,10,1,164,3,0,10,171,402,7,5,2,302,263,170
acetobacter_persici,6,3,4,0,0,1,4,0,3,1,1,1,3,1,0,0,1,8,4,1,2,0,0,17,0,1,4,5,4,3,5,8,1,3,0
acetobacter_senegalensis,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,7,0,0,0,3,0,2,0,0,0,4,0,1,0,0,0
acetohalobium_arabaticum,1,6,6,4,0,0,4,0,2,4,0,3,0,15,5,0,1,7,8,5,1,4,2,10,0,1,2,3,6,9,2,8,4,15,4
acetomicrobium_hydrogeniformans,8,9,9,2,0,0,29,0,6,0,0,0,0,5,1,0,5,0,21,6,0,0,0,8,0,0,1,9,40,0,1,24,2,3,0
acetomicrobium_mobile,2,1,2,4,0,0,6,0,1,15,0,2,0,0,1,0,0,8,0,6,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0
acholeplasma_brassicae,3,49,4,24,0,0,0,0,1,0,0,42,0,5,0,0,0,3,1,0,0,1,0,13,10,0,29,4,0,13,0,4,6,25,0
acholeplasma_laidlawii,0,61,30,71,0,1,3,0,0,0,0,3,0,54,0,0,0,1,57,17,4,4,0,5,1,0,15,1,0,1,1,1,9,28,5
